p.adj.method	lib_cut	neg_lb	tol	max_iter	conserve	alpa	accuracy	f1_score
hochberg	80	TRUE	1e-04	50	TRUE	0.02	0.9016	0.174496644295302
holm	10	FALSE	1e-04	175	FALSE	0.07	0.9008	0.205128205128205
fdr	30	FALSE	0.001	150	FALSE	0.04	0.8944	0.290322580645161
BY	20	FALSE	1e-05	150	FALSE	0.03	0.8976	0.209876543209877
BH	50	TRUE	0.001	125	TRUE	0.1	0.8928	0.229885057471264
fdr	80	FALSE	1e-06	100	TRUE	0.08	0.8928	0.229885057471264
BY	90	TRUE	1e-05	200	FALSE	0.1	0.8976	0.209876543209877
BH	40	FALSE	1e-06	150	TRUE	0.08	0.8928	0.229885057471264
hommel	30	TRUE	1e-05	100	TRUE	0.01	0.9016	0.174496644295302
BY	0	FALSE	0.001	150	FALSE	0.06	0.8976	0.209876543209877
bonferroni	90	FALSE	1e-06	100	TRUE	0.04	0.9024	0.175675675675676
BY	90	TRUE	1e-06	200	TRUE	0.03	0.9008	0.205128205128205
hommel	40	TRUE	1e-05	150	TRUE	0.01	0.9016	0.174496644295302
holm	100	FALSE	1e-04	175	FALSE	0.1	0.9008	0.205128205128205
holm	80	FALSE	1e-05	50	TRUE	0.01	0.9016	0.174496644295302
bonferroni	40	FALSE	0.001	125	TRUE	0.01	0.9024	0.175675675675676
hommel	0	TRUE	1e-05	125	FALSE	0.04	0.9008	0.205128205128205
bonferroni	60	TRUE	0.001	75	FALSE	0.03	0.9008	0.194805194805195
fdr	0	TRUE	1e-06	75	TRUE	0.08	0.8928	0.229885057471264
fdr	0	TRUE	1e-04	75	FALSE	0.02	0.8944	0.290322580645161
hochberg	0	TRUE	1e-06	175	FALSE	0.02	0.9008	0.205128205128205
fdr	40	TRUE	1e-04	200	FALSE	0.1	0.8944	0.290322580645161
BH	100	TRUE	1e-05	175	TRUE	0.01	0.8928	0.229885057471264
hochberg	10	TRUE	0.001	200	TRUE	0.05	0.9016	0.174496644295302
holm	90	TRUE	1e-05	100	FALSE	0.04	0.9008	0.205128205128205
BY	50	TRUE	1e-04	100	FALSE	0.05	0.8976	0.209876543209877
hommel	70	FALSE	0.001	50	TRUE	0.1	0.9016	0.174496644295302
holm	40	FALSE	1e-04	150	FALSE	0.07	0.9008	0.205128205128205
hommel	0	TRUE	0.001	175	TRUE	0.05	0.9016	0.174496644295302
